curve,epsilon,snr_db,n,rate_bits
$\kappa\beta$ achievable v2 (max err),1e-06,0.0,92,-0.0393178
$\kappa\beta$ achievable v2 (max err),1e-06,0.0,96,-0.0256711
$\kappa\beta$ achievable v2 (max err),1e-06,0.0,100,-0.0129487
Normal approximation,1e-06,0.0,20,-0.330987
Normal approximation,1e-06,0.0,24,-0.261698
Normal approximation,1e-06,0.0,28,-0.207784
Normal approximation,1e-06,0.0,33,-0.154608
Normal approximation,1e-06,0.0,37,-0.119994
Normal approximation,1e-06,0.0,41,-0.0905145
Normal approximation,1e-06,0.0,45,-0.0650027
Normal approximation,1e-06,0.0,49,-0.0426345
Normal approximation,1e-06,0.0,54,-0.0181925
Normal approximation,1e-06,0.0,58,-0.000920475
Normal approximation,1e-06,0.0,62,0.0146817
Normal approximation,1e-06,0.0,66,0.0288691
Normal approximation,1e-06,0.0,71,0.0449201
Normal approximation,1e-06,0.0,75,0.0566099
Normal approximation,1e-06,0.0,79,0.0674176
Normal approximation,1e-06,0.0,83,0.0774497
Normal approximation,1e-06,0.0,87,0.0867956
Normal approximation,1e-06,0.0,92,0.0976268
Normal approximation,1e-06,0.0,96,0.105688
Normal approximation,1e-06,0.0,100,0.11327
